start_state,oracle_target,valley_required,random_terminal,random_best_seen,random_steps,random_min_delta,random_downhill_steps,random_regret,greedy_terminal,greedy_best_seen,greedy_steps,greedy_min_delta,greedy_downhill_steps,greedy_regret,beam_terminal,beam_best_seen,beam_steps,beam_min_delta,beam_downhill_steps,beam_regret,lookahead_terminal,lookahead_best_seen,lookahead_steps,lookahead_min_delta,lookahead_downhill_steps,lookahead_regret,oracle_terminal,oracle_best_seen,oracle_steps,oracle_min_delta,oracle_downhill_steps,oracle_regret
3,101,True,1.558784423,1.664214576,3,-0.49890498699999997,2,0.25208788699999984,1.664214576,1.664214576,0,0.0,0,0.14665773399999993,1.77230179,1.81087231,3,-0.49890498699999997,2,0.03857051999999994,1.77230179,1.81087231,3,-0.49890498699999997,2,0.03857051999999994,1.81087231,1.81087231,2,-0.49890498699999997,1,0.0
10,64,True,1.397830511,1.397830511,3,-0.15484872875,1,0.16289190099999984,1.377814536,1.377814536,1,0.06078189899999997,0,0.1829078759999998,1.5607224119999998,1.5607224119999998,3,-0.15484872875,1,0.0,1.5607224119999998,1.5607224119999998,3,-0.15484872875,1,0.0,1.5607224119999998,1.5607224119999998,3,-0.15484872875,1,0.0
13,61,False,1.622197528,1.622197528,1,0.04420778600000008,0,0.0,1.622197528,1.622197528,1,0.04420778600000008,0,0.0,1.622197528,1.622197528,1,0.04420778600000008,0,0.0,1.622197528,1.622197528,1,0.04420778600000008,0,0.0,1.622197528,1.622197528,1,0.04420778600000008,0,0.0
18,64,True,1.397830511,1.397830511,3,-0.056991738833333416,1,0.16289190099999984,1.2324764398333334,1.2324764398333334,0,0.0,0,0.3282459721666664,1.5607224119999998,1.5607224119999998,3,-0.056991738833333416,1,0.0,1.5607224119999998,1.5607224119999998,3,-0.056991738833333416,1,0.0,1.5607224119999998,1.5607224119999998,3,-0.056991738833333416,1,0.0
23,23,False,0.992787564,1.667267101,1,-0.674479537,1,0.674479537,1.667267101,1.667267101,0,0.0,0,0.0,1.519705001,1.667267101,1,-0.14756210000000003,1,0.14756210000000003,1.519705001,1.667267101,1,-0.14756210000000003,1,0.14756210000000003,1.667267101,1.667267101,0,0.0,0,0.0
36,101,False,1.398864947,1.81087231,3,-0.3734368429999999,2,0.41200736299999985,1.81087231,1.81087231,1,0.12241709899999997,0,0.0,1.748802916,1.748802916,3,-0.059655202000000074,2,0.06206939399999989,1.81087231,1.81087231,3,-0.22620251700000016,2,0.0,1.81087231,1.81087231,3,-0.22620251700000016,2,0.0
42,101,False,1.558784423,1.630957699,2,-0.07217327600000001,1,0.25208788699999984,1.81087231,1.81087231,1,0.6455627209999999,0,0.0,1.696924619,1.696924619,3,0.1617420919999999,0,0.1139476909999999,1.398864947,1.81087231,3,-0.3734368429999999,2,0.41200736299999985,1.81087231,1.81087231,1,0.6455627209999999,0,0.0
43,43,False,1.183802665,1.506822593,1,-0.3230199280000001,1,0.3230199280000001,1.506822593,1.506822593,0,0.0,0,0.0,1.183802665,1.506822593,1,-0.3230199280000001,1,0.3230199280000001,1.183802665,1.506822593,1,-0.3230199280000001,1,0.3230199280000001,1.506822593,1.506822593,0,0.0,0,0.0
45,150,False,1.329515611,1.557765785,3,-0.22825017400000003,1,0.504138352,1.7628303980000002,1.7628303980000002,2,0.1626220100000002,0,0.07082356499999976,1.833653963,1.833653963,3,0.09586478799999987,0,0.0,1.833653963,1.833653963,3,0.09586478799999987,0,0.0,1.833653963,1.833653963,3,0.09586478799999987,0,0.0
49,1004,False,1.4500503130000002,1.4658020719999998,3,-0.015751758999999588,2,0.04516749699999978,1.49521781,1.49521781,3,0.015751758999999588,0,0.0,1.49521781,1.49521781,3,0.015751758999999588,0,0.0,1.49521781,1.49521781,3,0.015751758999999588,0,0.0,1.49521781,1.49521781,3,0.015751758999999588,0,0.0
58,58,False,1.162099572,1.229022583,1,-0.06692301099999987,1,0.06692301099999987,1.229022583,1.229022583,0,0.0,0,0.0,1.162099572,1.229022583,1,-0.06692301099999987,1,0.06692301099999987,1.162099572,1.229022583,1,-0.06692301099999987,1,0.06692301099999987,1.229022583,1.229022583,0,0.0,0,0.0
65,64,True,1.4854649,1.4854649,1,0.08763438899999998,0,0.07525751199999986,1.4854649,1.4854649,1,0.08763438899999998,0,0.07525751199999986,1.317032637,1.397830511,3,-0.17486470374999996,2,0.24368977499999978,1.5607224119999998,1.5607224119999998,2,-0.17486470374999996,1,0.0,1.5607224119999998,1.5607224119999998,2,-0.17486470374999996,1,0.0
66,23,False,0.992787564,1.667267101,2,-0.674479537,1,0.674479537,1.667267101,1.667267101,1,0.14756210000000003,0,0.0,0.992787564,1.667267101,2,-0.674479537,1,0.674479537,0.992787564,1.667267101,2,-0.674479537,1,0.674479537,1.667267101,1.667267101,1,0.14756210000000003,0,0.0
70,23,False,1.519705001,1.667267101,2,-0.14756210000000003,1,0.14756210000000003,1.667267101,1.667267101,1,0.674479537,0,0.0,1.519705001,1.667267101,2,-0.14756210000000003,1,0.14756210000000003,1.519705001,1.667267101,2,-0.14756210000000003,1,0.14756210000000003,1.667267101,1.667267101,1,0.674479537,0,0.0
71,68,True,1.5633394930000002,1.5735970190000002,3,-0.14538902499999984,2,0.010257525999999961,1.429176356,1.429176356,0,0.0,0,0.14442066300000023,1.5633394930000002,1.5735970190000002,3,-0.14538902499999984,2,0.010257525999999961,1.5633394930000002,1.5735970190000002,3,-0.14538902499999984,2,0.010257525999999961,1.5735970190000002,1.5735970190000002,2,-0.14538902499999984,1,0.0
85,236,False,1.458031421,1.567602378,3,-0.08349762999999988,2,0.10957095699999986,1.567602378,1.567602378,1,0.08610663799999996,0,0.0,1.458031421,1.567602378,3,-0.08349762999999988,2,0.10957095699999986,1.458031421,1.567602378,3,-0.08349762999999988,2,0.10957095699999986,1.567602378,1.567602378,1,0.08610663799999996,0,0.0
