start_state,oracle_target,valley_required,random_terminal,random_best_seen,random_steps,random_min_delta,random_downhill_steps,random_regret,greedy_terminal,greedy_best_seen,greedy_steps,greedy_min_delta,greedy_downhill_steps,greedy_regret,beam_terminal,beam_best_seen,beam_steps,beam_min_delta,beam_downhill_steps,beam_regret,lookahead_terminal,lookahead_best_seen,lookahead_steps,lookahead_min_delta,lookahead_downhill_steps,lookahead_regret,oracle_terminal,oracle_best_seen,oracle_steps,oracle_min_delta,oracle_downhill_steps,oracle_regret
215,385,False,0.007391,0.220317,3,-0.14777500000000002,2,1.144865,1.152256,1.152256,2,0.038853999999999944,0,0.0,1.113402,1.119826,3,-0.14777500000000002,2,0.038853999999999944,1.046407,1.152256,3,-0.10584899999999986,1,0.10584899999999986,1.152256,1.152256,2,0.038853999999999944,0,0.0
248,12,True,0.028017,0.992173,3,-0.886213,2,1.0946120000000001,1.033008,1.033008,1,0.6176159999999999,0,0.08962100000000017,1.113402,1.113402,3,-0.1127109999999999,1,0.009227000000000096,1.122629,1.122629,3,-0.49749299999999996,1,0.0,1.122629,1.122629,3,-0.49749299999999996,1,0.0
508,12,False,0.001445,0.266458,3,-0.23581099999999997,2,1.1211840000000002,1.119826,1.119826,2,0.07633500000000004,0,0.002803000000000111,1.122629,1.122629,3,0.010362000000000204,0,0.0,1.122629,1.122629,3,0.010362000000000204,0,0.0,1.122629,1.122629,3,0.010362000000000204,0,0.0
587,385,False,-0.001422,0.698314,3,-0.698078,2,1.153678,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0
701,200,False,-0.013792,0.028308,3,-0.0421,2,1.21749,1.203698,1.203698,3,0.154134,0,0.0,1.203698,1.203698,3,0.154134,0,0.0,1.203698,1.203698,3,0.154134,0,0.0,1.203698,1.203698,3,0.154134,0,0.0
1049,200,False,0.018047,0.0696669999999999,3,-0.0702359999999999,2,1.185651,1.203698,1.203698,3,0.060050999999999966,0,0.0,1.203698,1.203698,3,0.060050999999999966,0,0.0,1.203698,1.203698,3,0.060050999999999966,0,0.0,1.203698,1.203698,3,0.060050999999999966,0,0.0
1073,20,False,0.002513,0.050049,3,-0.047536,1,1.0160500000000001,1.018563,1.018563,2,0.16720100000000002,0,0.0,1.000132,1.000132,3,0.16720100000000002,0,0.018431000000000086,0.919528,1.018563,3,-0.0990350000000001,1,0.0990350000000001,1.018563,1.018563,2,0.16720100000000002,0,0.0
1596,16,False,-0.009258,0.011308,3,-0.017386,2,1.089402,1.033008,1.033008,2,0.33813899999999997,0,0.04713600000000007,1.061131,1.080144,3,-0.019012999999999947,1,0.019012999999999947,1.061131,1.080144,3,-0.019012999999999947,1,0.019012999999999947,1.080144,1.080144,2,0.21908599999999998,0,0.0
2136,17,False,-0.0169,0.027771,3,-0.044671,1,1.093192,1.076292,1.076292,2,0.305243,0,0.0,1.027244,1.076292,3,-0.04904799999999998,1,0.04904799999999998,1.027244,1.076292,3,-0.04904799999999998,1,0.04904799999999998,1.076292,1.076292,2,0.305243,0,0.0
2197,22,False,0.312207,1.008731,3,-0.696524,1,0.696524,1.008731,1.008731,2,0.291897,0,0.0,0.967142,0.992173,3,-0.025031000000000025,1,0.0415890000000001,0.908376,1.008731,3,-0.10035500000000008,1,0.10035500000000008,1.008731,1.008731,2,0.291897,0,0.0
2227,392,False,0.005043,0.005043,3,-0.002567,1,1.0665980000000002,1.071641,1.071641,3,0.05754499999999996,0,0.0,1.071641,1.071641,3,0.05754499999999996,0,0.0,1.071641,1.071641,3,0.05754499999999996,0,0.0,1.071641,1.071641,3,0.05754499999999996,0,0.0
2467,358,False,0.082231,0.892977,3,-0.810746,1,0.990286,0.978401,0.978401,2,0.287303,0,0.09411599999999998,1.072517,1.072517,3,0.17953999999999992,0,0.0,1.072517,1.072517,3,0.17953999999999992,0,0.0,1.072517,1.072517,3,0.17953999999999992,0,0.0
2484,14,False,0.002867,0.010601,3,-0.010107999999999999,2,1.09979,1.051531,1.051531,2,0.31072999999999995,0,0.051126000000000005,1.070719,1.102657,3,-0.03193800000000002,1,0.03193800000000002,1.070719,1.102657,3,-0.03193800000000002,1,0.03193800000000002,1.102657,1.102657,2,0.052887,0,0.0
2611,200,False,0.261218,0.261218,3,-0.0011649999999999998,1,0.94248,1.203698,1.203698,3,0.154134,0,0.0,1.203698,1.203698,3,0.154134,0,0.0,1.203698,1.203698,3,0.154134,0,0.0,1.203698,1.203698,3,0.154134,0,0.0
3141,390,False,0.8990950000000001,0.8990950000000001,3,0.016639,0,0.2207309999999999,1.076292,1.076292,2,0.10229900000000003,0,0.04353399999999996,1.119826,1.119826,3,0.06949799999999995,0,0.0,1.119826,1.119826,3,0.06949799999999995,0,0.0,1.119826,1.119826,3,0.06949799999999995,0,0.0
3555,16,False,0.012761,0.012899,3,-0.023420000000000003,1,1.067383,1.008731,1.008731,3,0.017519,0,0.07141299999999995,1.080144,1.080144,3,0.017519,0,0.0,1.080144,1.080144,3,0.017519,0,0.0,1.080144,1.080144,3,0.017519,0,0.0
3799,20,False,0.010781,0.561825,3,-0.551044,1,1.0077820000000002,1.018563,1.018563,3,0.015382,0,0.0,1.018563,1.018563,3,0.015382,0,0.0,1.018563,1.018563,3,0.015382,0,0.0,1.018563,1.018563,3,0.015382,0,0.0
3839,12,False,0.009043,0.021676,3,-0.016747,1,1.1135860000000002,1.122629,1.122629,3,0.11787700000000001,0,0.0,1.122629,1.122629,3,0.11787700000000001,0,0.0,1.122629,1.122629,3,0.1244320000000001,0,0.0,1.122629,1.122629,3,0.1244320000000001,0,0.0
3898,358,False,0.010755,0.010755,3,0.00036799999999999984,0,1.0617619999999999,1.072517,1.072517,2,0.297697,0,0.0,1.043491,1.072517,3,-0.029025999999999996,1,0.029025999999999996,1.043491,1.072517,3,-0.029025999999999996,1,0.029025999999999996,1.072517,1.072517,2,0.297697,0,0.0
4226,25,False,0.005017,0.006479,3,-0.011470000000000001,1,1.044547,1.049564,1.049564,3,0.06907899999999989,0,0.0,1.049564,1.049564,3,0.06907899999999989,0,0.0,1.049564,1.049564,3,0.06907899999999989,0,0.0,1.049564,1.049564,3,0.06907899999999989,0,0.0
4249,30,False,0.112362,0.112362,3,-0.069188,1,0.939169,1.051531,1.051531,3,0.08880900000000003,0,0.0,1.051531,1.051531,3,0.08880900000000003,0,0.0,1.051531,1.051531,3,0.08880900000000003,0,0.0,1.051531,1.051531,3,0.08880900000000003,0,0.0
4414,30,False,-0.0085069999999999,0.000769,3,-0.0059779999999999,2,1.0600379999999998,1.051531,1.051531,3,0.026919000000000002,0,0.0,1.051531,1.051531,3,0.026919000000000002,0,0.0,1.051531,1.051531,3,0.026919000000000002,0,0.0,1.051531,1.051531,3,0.026919000000000002,0,0.0
4932,14,False,-0.014995,0.014758,3,-0.01638,2,1.117652,1.102657,1.102657,3,0.01616,0,0.0,1.102657,1.102657,3,0.01616,0,0.0,1.102657,1.102657,3,-0.003212,1,0.0,1.102657,1.102657,3,-0.003212,1,0.0
4935,14,True,0.014758,0.014758,3,-0.005849,1,1.087899,0.001235,0.001235,0,0.0,0,1.101422,1.102657,1.102657,3,-0.005849,1,0.0,1.102657,1.102657,3,-0.005849,1,0.0,1.102657,1.102657,3,-0.005849,1,0.0
5749,20,False,0.00304,0.00304,3,-0.004703,2,1.0155230000000002,1.008731,1.008731,3,0.010068,0,0.009832000000000063,1.018563,1.018563,3,0.010068,0,0.0,1.018563,1.018563,3,0.010068,0,0.0,1.018563,1.018563,3,0.010068,0,0.0
5988,390,False,0.021623,0.021623,3,-0.013472999999999999,1,1.098203,1.119826,1.119826,2,0.446704,0,0.0,1.113402,1.119826,3,-0.006423999999999985,1,0.006423999999999985,1.113402,1.119826,3,-0.006423999999999985,1,0.006423999999999985,1.119826,1.119826,2,0.446704,0,0.0
6061,16,False,-0.006898,0.00362,3,-0.010518,2,1.087042,1.051531,1.051531,3,0.003674,0,0.028613,1.080144,1.080144,3,0.003674,0,0.0,1.080144,1.080144,3,0.003674,0,0.0,1.080144,1.080144,3,0.003674,0,0.0
6322,12,False,0.027985,0.034203,3,-0.028630999999999997,1,1.0946440000000002,1.122629,1.122629,3,0.029729999999999996,0,0.0,1.122629,1.122629,3,-0.0031450000000000002,1,0.0,1.122629,1.122629,3,-0.0031450000000000002,1,0.0,1.122629,1.122629,3,-0.0031450000000000002,1,0.0
6350,22,False,-0.006294,0.006523,3,-0.012817,2,1.015025,1.008731,1.008731,3,0.0071059999999999995,0,0.0,1.008731,1.008731,3,-0.002198,1,0.0,1.008731,1.008731,3,-0.002198,1,0.0,1.008731,1.008731,3,-0.002198,1,0.0
6388,30,True,-0.006715,0.001797,3,-0.003857,3,1.058246,0.001797,0.001797,0,0.0,0,1.049734,1.051531,1.051531,3,-0.0045249999999999995,1,0.0,1.051531,1.051531,3,-0.0045249999999999995,1,0.0,1.051531,1.051531,3,-0.0045249999999999995,1,0.0
6471,200,False,0.010123,0.484792,3,-0.488373,1,1.1935749999999998,1.203698,1.203698,2,0.487682,0,0.0,1.113402,1.113402,3,0.03831600000000002,0,0.09029599999999993,1.049564,1.203698,3,-0.154134,1,0.154134,1.203698,1.203698,2,0.487682,0,0.0
6506,16,False,-0.00709,0.000996,3,-0.005879000000000099,2,1.087234,1.080144,1.080144,3,0.025419999999999998,0,0.0,1.080144,1.080144,3,0.025419999999999998,0,0.0,1.080144,1.080144,3,0.03750300000000001,0,0.0,1.080144,1.080144,3,0.03750300000000001,0,0.0
6677,23,False,-0.008715,0.002996,3,-0.011711000000000001,1,1.041723,1.033008,1.033008,3,0.006599,0,0.0,1.033008,1.033008,3,0.006599,0,0.0,1.033008,1.033008,3,0.004654,0,0.0,1.033008,1.033008,3,0.004654,0,0.0
6900,14,True,-0.014083,0.002771,3,-0.008234,3,1.11674,0.002771,0.002771,0,0.0,0,1.099886,1.102657,1.102657,3,-0.004764,1,0.0,1.102657,1.102657,3,-0.004764,1,0.0,1.102657,1.102657,3,-0.004764,1,0.0
6994,16,False,-0.021728,0.011984,3,-0.020715,2,1.101872,1.080144,1.080144,3,0.018545,0,0.0,1.080144,1.080144,3,0.018545,0,0.0,1.080144,1.080144,3,0.018545,0,0.0,1.080144,1.080144,3,0.018545,0,0.0
7146,26,False,0.004899,0.010404,3,-0.006866000000000001,1,1.038592,1.043491,1.043491,3,0.159541,0,0.0,1.043491,1.043491,3,0.159541,0,0.0,1.043491,1.043491,3,0.159541,0,0.0,1.043491,1.043491,3,0.159541,0,0.0
7284,22,False,0.062817,0.062817,3,-0.005939,2,0.945914,0.992173,0.992173,3,0.025057,0,0.016558000000000073,1.008731,1.008731,3,0.001379,0,0.0,1.008731,1.008731,3,-0.001645,1,0.0,1.008731,1.008731,3,-0.001645,1,0.0
7687,26,False,0.03148,0.314832,3,-0.283352,1,1.012011,1.043491,1.043491,3,0.07151500000000001,0,0.0,1.043491,1.043491,3,0.07151500000000001,0,0.0,1.043491,1.043491,3,0.07151500000000001,0,0.0,1.043491,1.043491,3,0.07151500000000001,0,0.0
7704,20,False,-0.00559,0.00264,3,-0.008230000000000001,1,1.024153,0.992173,0.992173,3,0.051222000000000004,0,0.026390000000000136,1.018563,1.018563,3,0.051222000000000004,0,0.0,1.018563,1.018563,3,0.051222000000000004,0,0.0,1.018563,1.018563,3,0.051222000000000004,0,0.0
7745,12,False,-0.003618,0.036149,3,-0.03558,2,1.126247,1.122629,1.122629,3,0.010362000000000204,0,0.0,1.122629,1.122629,3,0.010362000000000204,0,0.0,1.122629,1.122629,3,0.11987500000000001,0,0.0,1.122629,1.122629,3,0.11987500000000001,0,0.0
7766,12,False,-0.008572,0.011976,3,-0.015834,2,1.1312010000000001,1.122629,1.122629,3,0.007658000000000001,0,0.0,1.122629,1.122629,3,0.007658000000000001,0,0.0,1.122629,1.122629,3,0.007658000000000001,0,0.0,1.122629,1.122629,3,0.007658000000000001,0,0.0
7804,9,False,-0.007291,0.007968,3,-0.015258999999999998,1,1.003778,0.996487,0.996487,3,0.016166,0,0.0,0.996487,0.996487,3,0.012823,0,0.0,0.996487,0.996487,3,0.008539999999999999,0,0.0,0.996487,0.996487,3,0.008539999999999999,0,0.0
8108,22,False,0.003359,0.003565,3,-0.00020600000000000002,1,1.0053720000000002,1.008731,1.008731,3,0.017391,0,0.0,1.008731,1.008731,3,0.017391,0,0.0,1.008731,1.008731,3,0.017391,0,0.0,1.008731,1.008731,3,0.017391,0,0.0
8310,30,False,0.006636,0.0091569999999999,3,-0.0130799999999998,1,1.044895,1.051531,1.051531,3,0.033069,0,0.0,1.051531,1.051531,3,0.033069,0,0.0,1.051531,1.051531,3,0.033069,0,0.0,1.051531,1.051531,3,0.033069,0,0.0
8571,18,False,-0.0087739999999999,0.015892,3,-0.0246659999999999,1,1.0959329999999998,1.087159,1.087159,3,0.028207000000000093,0,0.0,1.087159,1.087159,3,0.028207000000000093,0,0.0,1.087159,1.087159,3,0.048434,0,0.0,1.087159,1.087159,3,0.048434,0,0.0
8750,12,False,0.040783,0.212808,3,-0.17202499999999998,1,1.081846,1.122629,1.122629,3,0.008295,0,0.0,1.122629,1.122629,3,0.008295,0,0.0,1.122629,1.122629,3,0.008295,0,0.0,1.122629,1.122629,3,0.008295,0,0.0
8863,14,False,-0.002923,0.000202,3,-0.012387,1,1.10558,1.102657,1.102657,3,0.005217,0,0.0,1.102657,1.102657,3,0.005217,0,0.0,1.102657,1.102657,3,0.005217,0,0.0,1.102657,1.102657,3,0.005217,0,0.0
8916,15,False,0.019208,0.019208,3,-0.023559,1,1.094194,1.113402,1.113402,3,0.013325,0,0.0,1.113402,1.113402,3,0.013325,0,0.0,1.113402,1.113402,3,0.013325,0,0.0,1.113402,1.113402,3,0.013325,0,0.0
9005,17,False,-0.007571,0.298156,3,-0.30572699999999997,2,1.083863,0.97338,0.97338,3,0.025629,0,0.102912,1.076292,1.076292,3,0.023089,0,0.0,1.076292,1.076292,3,-0.015442,1,0.0,1.076292,1.076292,3,-0.015442,1,0.0
9024,17,True,0.038752,0.038752,3,-0.032193,1,1.0375400000000001,0.022244,0.022244,0,0.0,0,1.054048,1.076292,1.076292,3,-0.011846,1,0.0,1.076292,1.076292,3,-0.011846,1,0.0,1.076292,1.076292,3,-0.011846,1,0.0
