start_state,oracle_target,valley_required,random_terminal,random_best_seen,random_steps,random_min_delta,random_downhill_steps,random_regret,greedy_terminal,greedy_best_seen,greedy_steps,greedy_min_delta,greedy_downhill_steps,greedy_regret,beam_terminal,beam_best_seen,beam_steps,beam_min_delta,beam_downhill_steps,beam_regret,lookahead_terminal,lookahead_best_seen,lookahead_steps,lookahead_min_delta,lookahead_downhill_steps,lookahead_regret,oracle_terminal,oracle_best_seen,oracle_steps,oracle_min_delta,oracle_downhill_steps,oracle_regret
390,385,True,0.007212,1.119826,3,-0.6251979999999999,2,1.145044,1.119826,1.119826,0,0.0,0,0.03242999999999996,1.122629,1.122629,3,-0.07633500000000004,1,0.029626999999999848,1.046407,1.152256,3,-0.10584899999999986,2,0.10584899999999986,1.152256,1.152256,2,-0.006423999999999985,1,0.0
449,385,True,-0.014761,1.06409,3,-1.068528,2,1.167017,1.06409,1.06409,0,0.0,0,0.08816599999999997,1.113402,1.152256,3,-0.038853999999999944,2,0.038853999999999944,1.113402,1.152256,3,-0.038853999999999944,2,0.038853999999999944,1.152256,1.152256,2,-0.017682999999999893,1,0.0
585,385,False,-0.007289,0.6098100000000001,3,-0.607141,2,1.159545,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0
588,200,False,-0.000289,0.157425,3,-0.162049,2,1.203987,1.152256,1.152256,3,0.03831600000000002,0,0.05144199999999999,1.203698,1.203698,3,-0.025522000000000045,1,0.0,1.203698,1.203698,3,0.154134,0,0.0,1.203698,1.203698,3,0.154134,0,0.0
926,30,False,-0.002823,0.009209,3,-0.007356,2,1.054354,1.051531,1.051531,2,0.08880900000000003,0,0.0,1.039578,1.039578,3,0.026227,0,0.011953000000000102,0.982763,1.051531,3,-0.06876799999999994,1,0.06876799999999994,1.051531,1.051531,2,0.08880900000000003,0,0.0
1390,385,False,-0.008596,0.000234,3,-0.00883,1,1.160852,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0
1500,390,False,-0.005076,0.001597,3,-0.006351,2,1.124902,1.119826,1.119826,3,0.07633500000000004,0,0.0,1.119826,1.119826,3,0.07633500000000004,0,0.0,1.119826,1.119826,3,0.07633500000000004,0,0.0,1.119826,1.119826,3,0.07633500000000004,0,0.0
2239,31,False,-0.009151,-0.002897,3,-0.006253999999999999,1,1.0202259999999999,1.011075,1.011075,2,0.159007,0,0.0,0.967142,0.992173,3,-0.025031000000000025,1,0.043933,0.80169,1.011075,3,-0.20938499999999993,1,0.20938499999999993,1.011075,1.011075,2,0.159007,0,0.0
2594,22,False,0.000451,0.014594,3,-0.0196819999999999,2,1.00828,1.008731,1.008731,2,0.362375,0,0.0,0.960908,0.960908,3,0.07076900000000008,0,0.04782300000000006,0.908376,1.008731,3,-0.10035500000000008,1,0.10035500000000008,1.008731,1.008731,2,0.362375,0,0.0
2640,31,False,-0.014901,-0.001559,3,-0.013342,2,1.025976,1.011075,1.011075,2,0.1436729999999999,0,0.0,0.960908,0.960908,3,0.07076900000000008,0,0.05016699999999996,0.80169,1.011075,3,-0.20938499999999993,1,0.20938499999999993,1.011075,1.011075,2,0.1436729999999999,0,0.0
